symbol,category,date,gate_bucket,score,grade,signal,rr_ratio,chase_flag,regime,state,blocking_signal_date,blocking_entry_date,blocking_exit_date,blocking_exit_reason,blocking_category
JSWSTEEL,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-05-28,2026-05-29,2026-06-23,stop_loss,Long-Term
JIOFIN,Long-Term,2026-06-05,score<40,32.6,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
JIOFIN,Long-Term,2026-06-08,score<40,20.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
KOTAKBANK,Long-Term,2026-06-05,score<40,30.0,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
KOTAKBANK,Long-Term,2026-06-08,score<40,19.4,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
LT,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-04-08,2026-04-09,2026-07-09,time_exit,Long-Term
LT,Long-Term,2026-06-08,score<40,,,,,,,skipped_by_open_trade,2026-04-08,2026-04-09,2026-07-09,time_exit,Long-Term
M&M,Long-Term,2026-06-05,score<40,15.2,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
M&M,Long-Term,2026-06-08,score<40,10.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
MARUTI,Long-Term,2026-06-05,score<40,24.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
MARUTI,Long-Term,2026-06-08,score<40,14.7,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
NESTLEIND,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),46.0,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
